Date,CSUSHPINSA
2020-09-10,226.806
2020-09-11,226.806
2020-09-12,226.806
2020-09-13,226.806
2020-09-14,226.806
2020-09-15,226.806
2020-09-16,226.806
2020-09-17,226.806
2020-09-18,226.806
2020-09-19,226.806
2020-09-20,226.806
2020-09-21,226.806
2020-09-22,226.806
2020-09-23,226.806
2020-09-24,226.806
2020-09-25,226.806
2020-09-26,226.806
2020-09-27,226.806
2020-09-28,226.806
2020-09-29,226.806
2020-09-30,226.806
2020-10-01,229.818
2020-10-02,229.818
2020-10-03,229.818
2020-10-04,229.818
2020-10-05,229.818
2020-10-06,229.818
2020-10-07,229.818
2020-10-08,229.818
2020-10-09,229.818
2020-10-10,229.818
2020-10-11,229.818
2020-10-12,229.818
2020-10-13,229.818
2020-10-14,229.818
2020-10-15,229.818
2020-10-16,229.818
2020-10-17,229.818
2020-10-18,229.818
2020-10-19,229.818
2020-10-20,229.818
2020-10-21,229.818
2020-10-22,229.818
2020-10-23,229.818
2020-10-24,229.818
2020-10-25,229.818
2020-10-26,229.818
2020-10-27,229.818
2020-10-28,229.818
2020-10-29,229.818
2020-10-30,229.818
2020-10-31,229.818
2020-11-01,232.322
2020-11-02,232.322
2020-11-03,232.322
2020-11-04,232.322
2020-11-05,232.322
2020-11-06,232.322
2020-11-07,232.322
2020-11-08,232.322
2020-11-09,232.322
2020-11-10,232.322
2020-11-11,232.322
2020-11-12,232.322
2020-11-13,232.322
2020-11-14,232.322
2020-11-15,232.322
2020-11-16,232.322
2020-11-17,232.322
2020-11-18,232.322
2020-11-19,232.322
2020-11-20,232.322
2020-11-21,232.322
2020-11-22,232.322
2020-11-23,232.322
2020-11-24,232.322
2020-11-25,232.322
2020-11-26,232.322
2020-11-27,232.322
2020-11-28,232.322
2020-11-29,232.322
2020-11-30,232.322
2020-12-01,234.371
2020-12-02,234.371
2020-12-03,234.371
2020-12-04,234.371
2020-12-05,234.371
2020-12-06,234.371
2020-12-07,234.371
2020-12-08,234.371
2020-12-09,234.371
2020-12-10,234.371
2020-12-11,234.371
2020-12-12,234.371
2020-12-13,234.371
2020-12-14,234.371
2020-12-15,234.371
2020-12-16,234.371
2020-12-17,234.371
2020-12-18,234.371
2020-12-19,234.371
2020-12-20,234.371
2020-12-21,234.371
2020-12-22,234.371
2020-12-23,234.371
2020-12-24,234.371
2020-12-25,234.371
2020-12-26,234.371
